year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	124452.0		7864.0	3163.0	657.0	2497.0	9.0	4345.0	2299.0	2046.0	356.0	168.0	188.0	13.0	40.0	4.0		1140.0			1.0	山梨	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117963&fileKind=0
1986	125867.0		7470.0	2979.0	748.0	2205.0	26.0	4331.0	2305.0	2026.0	160.0	84.0	76.0	15.0	33.0	17.0		1040.0		5.0		山梨	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117963&fileKind=0
1987	116665.0		6954.0	2578.0	669.0	1891.0	18.0	4152.0	2038.0	2114.0	224.0	95.0	129.0	5.0	37.0	13.0	1.0	876.0		14.0	2.0	山梨	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117963&fileKind=0
1988	117720.0		5938.0	2347.0	613.0	1718.0	16.0	3362.0	1443.0	1919.0	229.0	110.0	119.0	2.0	51.0	31.0	1.0	676.0		18.0	2.0	山梨	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117963&fileKind=0
1989	113725.0		6079.0	2679.0	639.0	2034.0	6.0	3371.0	1439.0	1932.0	29.0	8.0	21.0	6.0	26.0	12.0	1.0	636.0		21.0	1.0	山梨	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117963&fileKind=0
1990	94840.0		6152.0	3001.0	668.0	2331.0	2.0	3129.0	1325.0	1804.0	22.0	10.0	12.0	5.0	22.0	11.0		671.0		15.0	1.0	山梨	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117963&fileKind=0
1991	81281.0		6010.0	2859.0	748.0	2106.0	5.0	3100.0	1226.0	1874.0	51.0	11.0	40.0	2.0	30.0	13.0		688.0		11.0	1.0	山梨	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117963&fileKind=0
1992	76727.0		5981.0	2718.0	611.0	2102.0	5.0	3209.0	1415.0	1794.0	54.0	10.0	44.0	3.0	30.0	23.0		666.0		21.0	3.0	山梨	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117963&fileKind=0
1993	77376.0		5924.0	3102.0	702.0	2395.0	5.0	2803.0	1427.0	1376.0	19.0	14.0	5.0	2.0	32.0	14.0		727.0		2.0	3.0	山梨	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117963&fileKind=0
1994	75080.0		5577.0	3238.0	734.0	2502.0	2.0	2339.0	1381.0	958.0				4.0	20.0	10.0		663.0		9.0		山梨	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117963&fileKind=0
