year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	20638965.0		1536414.0	563621.0	289116.0	271066.0	3439.0	958047.0	490446.0	467601.0	14746.0	2566.0	12180.0	1812.0	37127.0	14815.0	40.0	16555.0	187.0	5488.0	6763.0	1.都道府県別出荷頭数累年統計	00.All	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117924&fileKind=0
1986	20996966.0		1524045.0	525721.0	262642.0	260409.0	2670.0	974927.0	504244.0	470683.0	23397.0	2581.0	20816.0	1682.0	27887.0	11643.0	63.0	17013.0	155.0	6184.0	7066.0	1.都道府県別出荷頭数累年統計	00.All	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117924&fileKind=0
1987	21427997.0		1485682.0	472895.0	227115.0	243310.0	2470.0	982790.0	499970.0	482820.0	29997.0	3120.0	26877.0	1186.0	20441.0	9890.0	73.0	14820.0	95.0	7138.0	6736.0	1.都道府県別出荷頭数累年統計	00.All	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117924&fileKind=0
1988	21233975.0		1442187.0	443589.0	205141.0	236397.0	2051.0	965542.0	481697.0	483845.0	33056.0	2860.0	30196.0	1113.0	16983.0	9054.0	41.0	12373.0	93.0	7632.0	6668.0	1.都道府県別出荷頭数累年統計	00.All	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117924&fileKind=0
1989	21416952.0		1376001.0	452552.0	205538.0	245519.0	1495.0	890182.0	430196.0	459986.0	33267.0	2796.0	30471.0	1284.0	14576.0	8273.0	80.0	13112.0	91.0	8163.0	5928.0	1.都道府県別出荷頭数累年統計	00.All	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117924&fileKind=0
1990	20910170.0		1374586.0	481822.0	212731.0	267683.0	1408.0	860461.0	415650.0	444811.0	32303.0	2945.0	29358.0	1166.0	14909.0	7765.0	157.0	13530.0	66.0	9632.0	6135.0	1.都道府県別出荷頭数累年統計	00.All	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117924&fileKind=0
1991	19829262.0		1431231.0	509480.0	226559.0	281507.0	1414.0	886251.0	428531.0	457720.0	35500.0	4638.0	30862.0	1047.0	15766.0	7191.0	224.0	13827.0	85.0	9498.0	6655.0	1.都道府県別出荷頭数累年統計	00.All	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117924&fileKind=0
1992	19159060.0		1471038.0	534963.0	245093.0	288522.0	1348.0	903882.0	430324.0	473558.0	32193.0	4731.0	27462.0	1160.0	18579.0	7569.0	227.0	14883.0	149.0	9412.0	7674.0	1.都道府県別出荷頭数累年統計	00.All	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117924&fileKind=0
1993	19168810.0		1493072.0	567186.0	267637.0	298437.0	1112.0	892152.0	438731.0	453421.0	33734.0	6773.0	26961.0	1200.0	16688.0	6711.0	202.0	17201.0	147.0	9167.0	7696.0	1.都道府県別出荷頭数累年統計	00.All	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117924&fileKind=0
1994	18654747.0		1521454.0	624735.0	303386.0	320262.0	1087.0	865217.0	438196.0	427021.0	31502.0	7819.0	23683.0	971.0	14292.0	6919.0	201.0	20014.0	162.0	9144.0	7174.0	1.都道府県別出荷頭数累年統計	00.All	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117924&fileKind=0
