year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	436622.0		17776.0	12407.0	5975.0	6396.0	36.0	5358.0	2431.0	2927.0	11.0	2.0	9.0	22.0	91.0	42.0	1.0	21.0	1.0	182.0	33.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1986	416842.0		16964.0	9981.0	4662.0	5285.0	34.0	6964.0	2857.0	4107.0	19.0	7.0	12.0	37.0	103.0	58.0		265.0	1.0	203.0	28.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1987	412071.0		14244.0	7841.0	3703.0	4111.0	27.0	6395.0	2541.0	3854.0	8.0	6.0	2.0	32.0	48.0	22.0	1.0	251.0	7.0	153.0	38.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1988	404756.0		12691.0	7473.0	3377.0	4088.0	8.0	5178.0	2081.0	3097.0	40.0	32.0	8.0	35.0	29.0	14.0		240.0		202.0	22.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1989	404587.0		12955.0	7799.0	3523.0	4263.0	13.0	5151.0	1815.0	3336.0	5.0	5.0		29.0	23.0	16.0		191.0	2.0	320.0	32.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1990	417707.0		13051.0	8084.0	3646.0	4415.0	23.0	4951.0	1631.0	3320.0	16.0	7.0	9.0	26.0	22.0	11.0		199.0	2.0	338.0	23.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1991	419737.0		12566.0	7649.0	3384.0	4247.0	18.0	4895.0	1414.0	3481.0	22.0	2.0	20.0	22.0	18.0	9.0		157.0	1.0	481.0	21.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1992	418083.0		13296.0	8302.0	3935.0	4346.0	21.0	4974.0	1494.0	3480.0	20.0		20.0	26.0	22.0	4.0		135.0		450.0	25.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1993	418088.0		12830.0	8341.0	4000.0	4318.0	23.0	4489.0	1612.0	2877.0				22.0	12.0	4.0		51.0	1.0	428.0	39.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1994	394552.0		12654.0	8655.0	4557.0	4064.0	34.0	3999.0	1450.0	2549.0				24.0	14.0	2.0		75.0	1.0	393.0	12.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1995	370855.0	12355.0	12336.0	8405.0	4318.0	4079.0	8.0	3931.0	1326.0	2605.0				9.0	10.0	4.0		158.0	1.0	382.0	12.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1996	379608.0	11099.0	11092.0	8203.0	3913.0	4268.0	22.0	2889.0	961.0	1928.0				2.0	5.0	1.0		118.0	1.0	319.0	3.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1997	402006.0	10032.0	10019.0	7695.0	3712.0	3979.0	4.0	2324.0	943.0	1381.0				8.0	5.0	1.0		112.0		328.0	5.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1998	412933.0	9310.0	9286.0	7026.0	3361.0	3654.0	11.0	2260.0	932.0	1328.0				13.0	11.0	1.0		121.0		299.0	9.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
1999	421437.0	8835.0	8779.0	6923.0	3119.0	3801.0	3.0	1856.0	869.0	987.0				47.0	9.0			103.0	2.0	267.0	6.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
2000	431318.0	8237.0	8183.0	6577.0	3048.0	3518.0	11.0	1606.0	795.0	811.0				21.0	33.0	20.0		61.0		140.0	5.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
2001	401098.0	7458.0	7413.0	6071.0	2932.0	3134.0	5.0	1342.0	678.0	664.0				11.0	34.0	34.0		52.0		149.0	5.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
2002	406836.0	8009.0	8004.0	6066.0	2644.0	3416.0	6.0	1936.0	893.0	1043.0	2.0	2.0		3.0	2.0			40.0		112.0	5.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
2003	409148.0	7037.0	7031.0	5184.0	2120.0	3060.0	4.0	1842.0	894.0	948.0	5.0	5.0			4.0	2.0	2.0	97.0		83.0	6.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
2004	411279.0	7461.0	7441.0	5495.0	2420.0	3071.0	4.0	1926.0	902.0	1024.0	20.0	13.0	7.0	4.0	16.0	12.0		103.0		73.0	16.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
2005	400673.0	7956.0	7947.0	5498.0	2343.0	3146.0	9.0	2438.0	1126.0	1312.0	11.0	6.0	5.0	3.0	6.0	6.0		75.0		58.0	2.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
2006	406634.0	7023.0	6993.0	4891.0	1920.0	2966.0	5.0	2097.0	1069.0	1028.0	5.0	2.0	3.0		30.0	29.0		44.0		39.0	1.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
2007	419517.0	6832.0	6805.0	4796.0	1792.0	3001.0	3.0	2001.0	1069.0	932.0	8.0	1.0	7.0	2.0	17.0	14.0	8.0	36.0		40.0	4.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
2008	437216.0	7092.0	7083.0	4924.0	1890.0	3031.0	3.0	2152.0	1225.0	927.0	7.0	6.0	1.0	1.0	8.0	5.0		55.0		33.0	1.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
2009	504805.0	7276.0	7269.0	5454.0	2076.0	3371.0	7.0	1814.0	940.0	874.0	1.0	1.0		2.0	5.0	1.0		74.0		30.0	2.0	1.都道府県別出荷頭数累年統計	05.Akita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117929&fileKind=0
