year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	445916.0		40095.0	24635.0	17103.0	7524.0	8.0	15442.0	9842.0	5600.0	18.0	17.0	1.0	39.0	250.0	159.0		119.0		434.0	261.0	1.都道府県別出荷頭数累年統計	06.Yamagata	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117950&fileKind=0
1986	413642.0		38952.0	22582.0	15377.0	7192.0	13.0	16370.0	10227.0	6143.0				15.0	149.0	96.0		98.0		446.0	267.0	1.都道府県別出荷頭数累年統計	06.Yamagata	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117950&fileKind=0
1987	413191.0		36241.0	19612.0	13134.0	6476.0	2.0	16613.0	10048.0	6565.0	16.0	1.0	15.0	17.0	96.0	49.0		127.0		451.0	205.0	1.都道府県別出荷頭数累年統計	06.Yamagata	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117950&fileKind=0
1988	412522.0		35743.0	17944.0	11981.0	5958.0	5.0	17720.0	10841.0	6879.0	79.0	54.0	25.0	29.0	82.0	51.0		211.0		455.0	243.0	1.都道府県別出荷頭数累年統計	06.Yamagata	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117950&fileKind=0
1989	434680.0		34141.0	17369.0	11369.0	5998.0	2.0	16758.0	10031.0	6727.0	14.0	14.0		19.0	47.0	26.0		237.0		545.0	203.0	1.都道府県別出荷頭数累年統計	06.Yamagata	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117950&fileKind=0
1990	455386.0		30758.0	17428.0	11072.0	6349.0	7.0	13294.0	8867.0	4427.0	36.0	2.0	34.0	9.0	57.0	29.0	3.0	222.0		470.0	199.0	1.都道府県別出荷頭数累年統計	06.Yamagata	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117950&fileKind=0
1991	438314.0		31028.0	17782.0	11133.0	6648.0	1.0	13218.0	9044.0	4174.0	28.0	3.0	25.0	12.0	70.0	12.0		264.0		385.0	212.0	1.都道府県別出荷頭数累年統計	06.Yamagata	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117950&fileKind=0
1992	415886.0		28889.0	16685.0	11958.0	4719.0	8.0	12204.0	6274.0	5930.0				13.0	124.0	38.0		339.0		275.0	237.0	1.都道府県別出荷頭数累年統計	06.Yamagata	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117950&fileKind=0
1993	403384.0		28579.0	15960.0	10812.0	5148.0		12617.0	7974.0	4643.0	2.0		2.0	9.0	57.0	17.0		634.0		435.0	207.0	1.都道府県別出荷頭数累年統計	06.Yamagata	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117950&fileKind=0
1994	377219.0		30591.0	19248.0	13300.0	5940.0	8.0	11340.0	6959.0	4381.0	3.0	2.0	1.0	5.0	167.0	117.0		896.0	3.0	451.0	180.0	1.都道府県別出荷頭数累年統計	06.Yamagata	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117950&fileKind=0
1995	355222.0	30701.0	30505.0	19265.0	13955.0	5297.0	13.0	11230.0	5884.0	5346.0	10.0	7.0	3.0	10.0	186.0	144.0		884.0		427.0	198.0	1.都道府県別出荷頭数累年統計	06.Yamagata	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117950&fileKind=0
