year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	546805.0		40625.0	17687.0	7437.0	10219.0	31.0	22811.0	9286.0	13525.0	127.0	112.0	15.0	67.0	824.0	265.0		28.0		297.0	30.0	1.都道府県別出荷頭数累年統計	07.Fukushima	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117951&fileKind=0
1986	535860.0		38813.0	17803.0	7572.0	10194.0	37.0	20946.0	7650.0	13296.0	64.0	51.0	13.0	40.0	714.0	230.0		19.0		386.0	27.0	1.都道府県別出荷頭数累年統計	07.Fukushima	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117951&fileKind=0
1987	536644.0		37592.0	16390.0	7586.0	8790.0	14.0	21162.0	7848.0	13314.0	40.0	2.0	38.0	34.0	455.0	181.0		62.0		332.0	8.0	1.都道府県別出荷頭数累年統計	07.Fukushima	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117951&fileKind=0
1988	530627.0		39336.0	15047.0	6580.0	8458.0	9.0	23201.0	9917.0	13284.0	1088.0	13.0	1075.0	35.0	379.0	164.0		49.0		305.0	7.0	1.都道府県別出荷頭数累年統計	07.Fukushima	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117951&fileKind=0
1989	548118.0		37914.0	15195.0	6396.0	8796.0	3.0	21923.0	7754.0	14169.0	796.0	9.0	787.0	48.0	520.0	301.0	2.0	216.0		263.0	9.0	1.都道府県別出荷頭数累年統計	07.Fukushima	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117951&fileKind=0
1990	548384.0		38956.0	16006.0	7025.0	8963.0	18.0	22179.0	8210.0	13969.0	771.0	23.0	748.0	64.0	389.0	178.0	2.0	309.0		284.0	4.0	1.都道府県別出荷頭数累年統計	07.Fukushima	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117951&fileKind=0
1991	533076.0		39241.0	16335.0	6953.0	9362.0	20.0	22189.0	7949.0	14240.0	717.0	29.0	688.0	62.0	436.0	159.0		350.0		254.0	5.0	1.都道府県別出荷頭数累年統計	07.Fukushima	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117951&fileKind=0
1992	513821.0		38905.0	17443.0	7812.0	9597.0	34.0	20712.0	7512.0	13200.0	750.0	36.0	714.0	77.0	404.0	140.0		547.0		304.0	5.0	1.都道府県別出荷頭数累年統計	07.Fukushima	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117951&fileKind=0
1993	528141.0		38714.0	19817.0	9555.0	10243.0	19.0	18183.0	7790.0	10393.0	714.0	63.0	651.0	84.0	358.0	257.0		628.0		370.0	9.0	1.都道府県別出荷頭数累年統計	07.Fukushima	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117951&fileKind=0
1994	515000.0		39643.0	22145.0	11380.0	10752.0	13.0	16993.0	7164.0	9829.0	505.0	38.0	467.0	45.0	149.0	101.0	1.0	773.0	1.0	366.0	5.0	1.都道府県別出荷頭数累年統計	07.Fukushima	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117951&fileKind=0
