year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	563818.0		62236.0	17161.0	4765.0	12374.0	22.0	43048.0	18542.0	24506.0	2027.0	49.0	1978.0	95.0	2254.0	594.0		24.0		201.0	16.0	1.都道府県別出荷頭数累年統計	09.Tochigi	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117953&fileKind=0
1986	564481.0		65552.0	16446.0	4549.0	11882.0	15.0	46700.0	20086.0	26614.0	2406.0	147.0	2259.0	49.0	1089.0	334.0		18.0		193.0	17.0	1.都道府県別出荷頭数累年統計	09.Tochigi	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117953&fileKind=0
1987	560850.0		66633.0	14447.0	3228.0	11213.0	6.0	48554.0	20224.0	28330.0	3632.0	30.0	3602.0	25.0	915.0	268.0	5.0	11.0		206.0	11.0	1.都道府県別出荷頭数累年統計	09.Tochigi	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117953&fileKind=0
1988	545626.0		63557.0	13613.0	2722.0	10886.0	5.0	46072.0	18694.0	27378.0	3872.0	17.0	3855.0	36.0	810.0	277.0	4.0	277.0		176.0	11.0	1.都道府県別出荷頭数累年統計	09.Tochigi	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117953&fileKind=0
1989	547572.0		64167.0	14142.0	2865.0	11264.0	13.0	46351.0	19777.0	26574.0	3674.0	21.0	3653.0	34.0	711.0	236.0	8.0	329.0	2.0	108.0	2.0	1.都道府県別出荷頭数累年統計	09.Tochigi	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117953&fileKind=0
1990	528403.0		65452.0	15178.0	3270.0	11899.0	9.0	47744.0	20368.0	27376.0	2530.0	35.0	2495.0	43.0	739.0	373.0	3.0	278.0		166.0	12.0	1.都道府県別出荷頭数累年統計	09.Tochigi	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117953&fileKind=0
1991	505591.0		64805.0	15474.0	3674.0	11792.0	8.0	46480.0	16245.0	30235.0	2851.0	103.0	2748.0	30.0	530.0	263.0	3.0	225.0		202.0	7.0	1.都道府県別出荷頭数累年統計	09.Tochigi	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117953&fileKind=0
1992	501869.0		65190.0	17751.0	4481.0	13252.0	18.0	46154.0	16060.0	30094.0	1285.0	22.0	1263.0	36.0	601.0	431.0	4.0	234.0		155.0	6.0	1.都道府県別出荷頭数累年統計	09.Tochigi	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117953&fileKind=0
1993	508458.0		67730.0	16559.0	4700.0	11844.0	15.0	48675.0	18224.0	30451.0	2496.0	415.0	2081.0	23.0	541.0	412.0	4.0	403.0		157.0	5.0	1.都道府県別出荷頭数累年統計	09.Tochigi	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117953&fileKind=0
1994	522551.0		64520.0	16982.0	4897.0	12076.0	9.0	46013.0	18681.0	27332.0	1525.0	391.0	1134.0	68.0	541.0	363.0	19.0	512.0	3.0	197.0	6.0	1.都道府県別出荷頭数累年統計	09.Tochigi	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117953&fileKind=0
1995	504995.0	62474.0	61966.0	16367.0	5176.0	11181.0	10.0	44566.0	17491.0	27075.0	1033.0	359.0	674.0	54.0	437.0	283.0	17.0	590.0	1.0	84.0	6.0	1.都道府県別出荷頭数累年統計	09.Tochigi	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117953&fileKind=0
1996	546788.0	58213.0	57811.0	17167.0	5292.0	11869.0	6.0	40447.0	16469.0	23978.0	197.0	130.0	67.0	72.0	312.0	199.0	18.0	569.0		173.0	3.0	1.都道府県別出荷頭数累年統計	09.Tochigi	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117953&fileKind=0
