year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	1071983.0		46239.0	6802.0	4274.0	2331.0	197.0	39411.0	27119.0	12292.0	26.0	21.0	5.0	9.0	2812.0	758.0	1.0	60.0		19.0	9.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1986	1082335.0		44483.0	5737.0	3975.0	1630.0	132.0	38724.0	26480.0	12244.0	22.0	3.0	19.0		2553.0	524.0		43.0	1.0	9.0	10.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1987	1130757.0		42688.0	4344.0	2867.0	1429.0	48.0	38205.0	24767.0	13438.0	139.0	3.0	136.0	5.0	1744.0	558.0		48.0		21.0	13.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1988	1090691.0		40802.0	3821.0	2378.0	1380.0	63.0	36765.0	23063.0	13702.0	216.0	9.0	207.0	2.0	1409.0	930.0	1.0	38.0		10.0	4.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1989	1111439.0		38118.0	4327.0	2509.0	1757.0	61.0	33485.0	19578.0	13907.0	306.0	4.0	302.0	6.0	1117.0	732.0	9.0	49.0		7.0	1.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1990	1087797.0		37833.0	5203.0	3031.0	2127.0	45.0	32272.0	18885.0	13387.0	358.0	13.0	345.0	17.0	827.0	567.0	4.0	21.0		9.0	4.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1991	1026649.0		40952.0	6687.0	3348.0	3309.0	30.0	33732.0	19129.0	14603.0	533.0	16.0	517.0	12.0	822.0	565.0	3.0	24.0		4.0	2.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1992	1001797.0		41402.0	7481.0	3931.0	3514.0	36.0	33423.0	19697.0	13726.0	498.0	31.0	467.0	11.0	1009.0	639.0	1.0	34.0		4.0	1.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1993	996542.0		40791.0	7635.0	3985.0	3615.0	35.0	32648.0	19656.0	12992.0	508.0	83.0	425.0	13.0	832.0	509.0	14.0	59.0		6.0	3.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1994	977684.0		40933.0	8934.0	4799.0	4096.0	39.0	31383.0	19477.0	11906.0	616.0	89.0	527.0	19.0	1231.0	686.0	9.0	72.0		21.0	11.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1995	948910.0	42671.0	41854.0	10380.0	5123.0	5230.0	27.0	30581.0	18522.0	12059.0	893.0	245.0	648.0	29.0	785.0	485.0	3.0	40.0		10.0		1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1996	879524.0	39216.0	38716.0	9077.0	4743.0	4320.0	14.0	29595.0	18010.0	11585.0	44.0	5.0	39.0	30.0	470.0	251.0		26.0		9.0	1.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1997	935449.0	39849.0	39392.0	11010.0	4423.0	6546.0	41.0	28307.0	17331.0	10976.0	75.0	12.0	63.0	53.0	401.0	261.0	3.0	21.0		4.0		1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1998	940555.0	38550.0	38204.0	11407.0	4525.0	6703.0	179.0	26669.0	16945.0	9724.0	128.0	13.0	115.0	27.0	319.0	157.0		16.0		3.0		1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
1999	942440.0	38186.0	37870.0	10685.0	4726.0	5789.0	170.0	26748.0	16200.0	10548.0	437.0	220.0	217.0	36.0	280.0	103.0		196.0		2.0	1.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
2000	967709.0	37797.0	37515.0	10289.0	4610.0	5555.0	124.0	26725.0	16394.0	10331.0	501.0	242.0	259.0	23.0	259.0	104.0		301.0		1.0	1.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
2001	972626.0	28414.0	28288.0	7087.0	3037.0	4049.0	1.0	21023.0	11806.0	9217.0	178.0	54.0	124.0	5.0	121.0	61.0		435.0		3.0	6.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
2002	1010071.0	35503.0	35249.0	6042.0	2849.0	3192.0	1.0	29204.0	13533.0	15671.0	3.0	1.0	2.0	1.0	253.0	177.0		444.0		11.0		1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
2003	1025960.0	31521.0	31198.0	3558.0	1887.0	1668.0	3.0	27640.0	14780.0	12860.0				16.0	307.0	197.0		319.0				1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
2004	1102085.0	32285.0	31965.0	3149.0	1633.0	1515.0	1.0	28814.0	15746.0	13068.0	2.0	1.0	1.0	4.0	316.0	235.0		270.0		1.0		1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
2005	1038867.0	30520.0	29754.0	2957.0	1411.0	1545.0	1.0	26758.0	14859.0	11899.0	39.0	23.0	16.0	12.0	754.0	594.0		322.0				1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
2006	1054417.0	29641.0	29191.0	2752.0	1209.0	1539.0	4.0	26431.0	15035.0	11396.0	8.0	3.0	5.0	2.0	448.0	353.0		234.0		1.0	1.0	1.都道府県別出荷頭数累年統計	12.Chiba	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117956&fileKind=0
