year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	128997.0		6560.0	1090.0	432.0	655.0	3.0	5470.0	2973.0	2497.0				2.0	78.0	55.0		4.0		28.0	3.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1986	120025.0		5925.0	878.0	354.0	523.0	1.0	5047.0	2736.0	2311.0				1.0	69.0	43.0		2.0		6.0	1.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1987	135970.0		5714.0	688.0	249.0	439.0		4997.0	2660.0	2337.0	29.0		29.0	2.0	41.0	30.0		1.0		5.0	4.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1988	135564.0		5808.0	595.0	234.0	361.0		5136.0	2732.0	2404.0	77.0		77.0	3.0	39.0	27.0		2.0		2.0	3.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1989	130740.0		5622.0	617.0	266.0	350.0	1.0	4925.0	2600.0	2325.0	80.0		80.0	1.0	22.0	16.0				2.0	1.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1990	119370.0		5309.0	722.0	316.0	404.0	2.0	4487.0	2445.0	2042.0	100.0		100.0	1.0	18.0	10.0		1.0		2.0	2.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1991	112246.0		5537.0	879.0	442.0	434.0	3.0	4599.0	2392.0	2207.0	59.0		59.0		10.0	9.0				4.0	5.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1992	97238.0		5435.0	904.0	454.0	450.0		4531.0	2703.0	1828.0				3.0	11.0	7.0				3.0		1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1993	95088.0		5300.0	987.0	508.0	479.0		4313.0	2741.0	1572.0				3.0	19.0	6.0	3.0	1.0		3.0	10.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1994	84474.0		5284.0	1087.0	541.0	546.0		4192.0	2474.0	1718.0	5.0		5.0	2.0	15.0	9.0		10.0		8.0		1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1995	76543.0	5338.0	5329.0	1194.0	524.0	667.0	3.0	4134.0	2541.0	1593.0	1.0		1.0	2.0	7.0	5.0		1.0		8.0	4.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1996	74258.0	5278.0	5268.0	1331.0	619.0	712.0		3937.0	2424.0	1513.0				2.0	8.0	5.0		2.0		6.0	8.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1997	70156.0	4939.0	4930.0	1314.0	531.0	769.0	14.0	3610.0	2277.0	1333.0	6.0		6.0	1.0	8.0	4.0		1.0		6.0		1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1998	71044.0	4400.0	4386.0	929.0	356.0	552.0	21.0	3455.0	1958.0	1497.0	2.0	2.0		3.0	11.0			2.0		11.0	7.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
1999	68333.0	4518.0	4509.0	840.0	277.0	560.0	3.0	3669.0	2071.0	1598.0				1.0	8.0	4.0		3.0	1.0	11.0		1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
2000	67533.0	4195.0	4188.0	871.0	315.0	551.0	5.0	3317.0	1921.0	1396.0				1.0	6.0	6.0				1.0	1.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
2001	66727.0	3525.0	3520.0	756.0	285.0	469.0	2.0	2764.0	1490.0	1274.0					5.0	4.0		1.0		15.0	1.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
2002	67924.0	3280.0	3279.0	822.0	237.0	582.0	3.0	2457.0	1187.0	1270.0					1.0	1.0				8.0		1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
2003	74308.0	3273.0	3272.0	858.0	247.0	610.0	1.0	2414.0	1142.0	1272.0					1.0	1.0						1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
2004	72031.0	3223.0	3222.0	869.0	283.0	584.0	2.0	2353.0	1281.0	1072.0					1.0							1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
2005	69439.0	3144.0	3143.0	794.0	235.0	558.0	1.0	2349.0	1281.0	1068.0					1.0							1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
2006	70033.0	2712.0	2712.0	663.0	204.0	457.0	2.0	2049.0	1151.0	898.0												1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
2007	69549.0	2652.0	2652.0	668.0	205.0	461.0	2.0	1984.0	1137.0	847.0												1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
2008	68583.0	2560.0	2560.0	797.0	191.0	605.0	1.0	1763.0	1000.0	763.0												1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
2009	70710.0	2484.0	2483.0	869.0	238.0	630.0	1.0	1614.0	935.0	679.0					1.0						3.0	1.都道府県別出荷頭数累年統計	16.Toyama	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117960&fileKind=0
