year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	142823.0		6452.0	1058.0	649.0	382.0	27.0	5394.0	3925.0	1469.0				2.0	171.0	20.0		10.0		1.0	2.0	1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1986	142835.0		5983.0	838.0	573.0	263.0	2.0	5142.0	3795.0	1347.0	3.0	2.0	1.0	4.0	97.0	6.0		9.0		4.0	6.0	1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1987	140126.0		6588.0	729.0	493.0	217.0	19.0	5854.0	4237.0	1617.0	5.0	1.0	4.0		59.0	12.0		9.0		13.0	12.0	1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1988	141592.0		6308.0	610.0	359.0	224.0	27.0	5608.0	3705.0	1903.0	90.0		90.0	3.0	17.0	3.0		7.0		2.0	3.0	1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1989	140514.0		6038.0	647.0	377.0	243.0	27.0	5366.0	3782.0	1584.0	25.0	6.0	19.0	4.0	18.0	7.0		9.0		6.0		1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1990	120206.0		5653.0	653.0	397.0	252.0	4.0	4955.0	3502.0	1453.0	45.0		45.0		19.0	7.0		6.0		1.0	3.0	1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1991	101913.0		5719.0	759.0	332.0	414.0	13.0	4913.0	3404.0	1509.0	47.0		47.0	2.0	15.0	2.0		8.0		4.0	2.0	1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1992	87368.0		5388.0	759.0	351.0	408.0		4600.0	3026.0	1574.0	29.0	1.0	28.0		33.0	16.0		14.0		9.0		1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1993	88444.0		5196.0	741.0	356.0	385.0		4455.0	3003.0	1452.0				2.0	36.0	16.0		13.0		5.0	1.0	1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1994	84906.0		5192.0	672.0	326.0	346.0		4520.0	3027.0	1493.0				3.0	52.0	26.0		11.0		3.0		1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1995	83293.0	5049.0	5017.0	700.0	376.0	323.0	1.0	4309.0	2900.0	1409.0	8.0	7.0	1.0	2.0	30.0	26.0		7.0		6.0	8.0	1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1996	80632.0	4520.0	4482.0	677.0	351.0	326.0		3805.0	2568.0	1237.0				4.0	34.0	20.0		4.0		1.0	2.0	1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1997	77862.0	3704.0	3686.0	635.0	337.0	298.0		3050.0	2200.0	850.0	1.0		1.0	1.0	17.0	3.0		4.0		17.0		1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1998	80395.0	3917.0	3893.0	641.0	333.0	308.0		3252.0	2253.0	999.0				5.0	19.0	14.0		4.0	1.0	16.0		1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
1999	74126.0	3475.0	3418.0	655.0	338.0	317.0		2763.0	1797.0	966.0				5.0	52.0	47.0		3.0		7.0		1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
2000	68005.0	3199.0	3168.0	634.0	297.0	337.0		2533.0	1596.0	937.0	1.0		1.0	1.0	29.0	7.0	1.0	3.0		6.0		1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
2001	66963.0	2469.0	2453.0	544.0	249.0	295.0		1909.0	1238.0	671.0				1.0	15.0	3.0		13.0		23.0		1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
2002	65818.0	2851.0	2847.0	687.0	252.0	435.0		2160.0	1331.0	829.0					4.0	1.0		9.0		17.0		1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
2003	64659.0	2771.0	2769.0	555.0	222.0	333.0		2214.0	1308.0	906.0				1.0	1.0			9.0		10.0		1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
2004	63309.0	2429.0	2426.0	554.0	201.0	353.0		1869.0	1230.0	639.0	3.0	2.0	1.0		3.0	1.0		8.0		5.0		1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
2005	61512.0	2568.0	2558.0	607.0	238.0	369.0		1951.0	1129.0	822.0					10.0	2.0		15.0		4.0		1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
2006	61949.0	2205.0	2202.0	448.0	238.0	210.0		1754.0	1117.0	637.0					3.0	2.0		14.0		5.0		1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
2007	62096.0	2144.0	2135.0	489.0	216.0	273.0		1646.0	1043.0	603.0					9.0	5.0		11.0				1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
2008	61515.0	1990.0	1978.0	569.0	210.0	359.0		1409.0	865.0	544.0					12.0	9.0		6.0				1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
2009	60705.0	1989.0	1984.0	625.0	237.0	388.0		1359.0	868.0	491.0					5.0	5.0		5.0			1.0	1.都道府県別出荷頭数累年統計	17.Ishikawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117961&fileKind=0
