year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	537636.0		39324.0	7862.0	4756.0	3106.0		31435.0	11343.0	20092.0	27.0	9.0	18.0	5.0	530.0	127.0		52.0		4.0	6.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1986	543602.0		36402.0	7795.0	5151.0	2644.0		28518.0	11541.0	16977.0	89.0	9.0	80.0		549.0	169.0		73.0		17.0	9.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1987	543314.0		36031.0	6394.0	3877.0	2513.0	4.0	29614.0	11373.0	18241.0	23.0	7.0	16.0	2.0	465.0	139.0		48.0		37.0	2.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1988	510514.0		36265.0	6249.0	4029.0	2217.0	3.0	29980.0	11503.0	18477.0	36.0	2.0	34.0	2.0	408.0	133.0		50.0		7.0	3.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1989	528274.0		30390.0	5547.0	3454.0	2091.0	2.0	24797.0	8902.0	15895.0	46.0	6.0	40.0	3.0	384.0	89.0	2.0	78.0		16.0	9.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1990	498977.0		29201.0	5918.0	3646.0	2270.0	2.0	23252.0	7933.0	15319.0	31.0	8.0	23.0	5.0	361.0	178.0		101.0		13.0	12.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1991	455717.0		28438.0	5483.0	3149.0	2319.0	15.0	22945.0	8404.0	14541.0	10.0	2.0	8.0		367.0	232.0		102.0	2.0	33.0	11.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1992	427978.0		28515.0	5601.0	3689.0	1908.0	4.0	22866.0	7718.0	15148.0	48.0	9.0	39.0	3.0	208.0	105.0		119.0		32.0	2.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1993	400910.0		25871.0	4756.0	2501.0	2243.0	12.0	21088.0	8469.0	12619.0	27.0	22.0	5.0	2.0	213.0	69.0		118.0		43.0	5.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1994	366101.0		24745.0	4056.0	1999.0	2055.0	2.0	20683.0	8400.0	12283.0	6.0	2.0	4.0	1.0	236.0	54.0	1.0	112.0		53.0	9.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1995	335396.0	22127.0	21987.0	4048.0	2351.0	1689.0	8.0	17935.0	7242.0	10693.0	4.0	1.0	3.0	1.0	139.0	42.0		106.0		45.0	7.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1996	326439.0	22557.0	22442.0	4217.0	2305.0	1910.0	2.0	18223.0	7261.0	10962.0	2.0		2.0	3.0	111.0	44.0	1.0	98.0		42.0	5.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1997	322934.0	21717.0	21622.0	3921.0	2395.0	1521.0	5.0	17699.0	7094.0	10605.0	2.0		2.0	4.0	91.0	45.0		96.0		67.0	12.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1998	327996.0	21674.0	21549.0	3326.0	2083.0	1237.0	6.0	18222.0	7345.0	10877.0	1.0		1.0	6.0	119.0	56.0		94.0		44.0		1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
1999	312732.0	20939.0	20840.0	3169.0	1973.0	1196.0		17671.0	8126.0	9545.0				12.0	87.0	60.0		110.0		35.0		1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
2000	290616.0	19121.0	19063.0	3108.0	1641.0	1467.0		15955.0	6378.0	9577.0				13.0	43.0	28.0	2.0	118.0		29.0	5.0	1.都道府県別出荷頭数累年統計	22.Shizuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117966&fileKind=0
