year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	269725.0		23882.0	14296.0	10079.0	3752.0	465.0	9581.0	6105.0	3476.0	5.0	3.0	2.0	29.0	174.0	86.0		16.0	2.0			1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1986	283897.0		25015.0	14017.0	9641.0	3920.0	456.0	10998.0	6180.0	4818.0				30.0	95.0	16.0		9.0	1.0	4.0		1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1987	289221.0		24351.0	13541.0	9043.0	3960.0	538.0	10790.0	6563.0	4227.0	20.0	8.0	12.0	9.0	41.0	7.0		14.0		2.0	2.0	1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1988	281456.0		23585.0	13273.0	9234.0	3589.0	450.0	10184.0	6089.0	4095.0	128.0	24.0	104.0	20.0	67.0	20.0		12.0			1.0	1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1989	285404.0		23705.0	13176.0	9713.0	3407.0	56.0	10353.0	6232.0	4121.0	176.0	37.0	139.0	23.0	40.0	18.0		13.0		2.0		1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1990	273732.0		22662.0	12719.0	9121.0	3592.0	6.0	9760.0	6100.0	3660.0	183.0	27.0	156.0	13.0	53.0	17.0	2.0	10.0		1.0	1.0	1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1991	240956.0		21303.0	11446.0	8476.0	2953.0	17.0	9670.0	6090.0	3580.0	187.0	8.0	179.0	11.0	6.0	1.0		12.0		1.0		1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1992	241899.0		20197.0	11125.0	8505.0	2620.0		9046.0	6123.0	2923.0	26.0	2.0	24.0	15.0	11.0	2.0		14.0		3.0	3.0	1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1993	242884.0		21514.0	12393.0	9886.0	2503.0	4.0	9110.0	5860.0	3250.0	11.0	4.0	7.0	7.0	7.0	3.0		26.0			1.0	1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1994	241950.0		21288.0	12096.0	9250.0	2845.0	1.0	9170.0	6076.0	3094.0	22.0	12.0	10.0	4.0	7.0			35.0		1.0		1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1995	239555.0	20461.0	20443.0	11833.0	9339.0	2486.0	8.0	8586.0	5390.0	3196.0	24.0	10.0	14.0	11.0	7.0	4.0		39.0			1.0	1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1996	236035.0	18217.0	18203.0	11659.0	9467.0	2184.0	8.0	6544.0	4486.0	2058.0				9.0	5.0	3.0		18.0				1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1997	240320.0	17267.0	17257.0	11242.0	9092.0	2150.0		6015.0	4123.0	1892.0				8.0	2.0			18.0				1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1998	238482.0	18312.0	18297.0	12582.0	9788.0	2793.0	1.0	5714.0	3760.0	1954.0	1.0		1.0	8.0	5.0	3.0	2.0	19.0			1.0	1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
1999	222737.0	18593.0	18587.0	12588.0	9718.0	2867.0	3.0	5997.0	3363.0	2634.0	2.0	2.0		4.0	2.0	2.0		25.0				1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
2000	214689.0	18449.0	18449.0	12411.0	9472.0	2938.0	1.0	6038.0	3271.0	2767.0								18.0				1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
2001	194457.0	15599.0	15597.0	11482.0	8798.0	2683.0	1.0	4115.0	2367.0	1748.0				2.0				11.0				1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
2002	195929.0	17629.0	17628.0	12719.0	9922.0	2796.0	1.0	4908.0	1990.0	2918.0	1.0		1.0		1.0			13.0				1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
2003	212590.0	16538.0	16523.0	11614.0	9247.0	2364.0	3.0	4909.0	2519.0	2390.0				3.0	12.0			8.0				1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
2004	202103.0	16758.0	16745.0	11967.0	9855.0	2108.0	4.0	4777.0	2608.0	2169.0	1.0	1.0		1.0	12.0	9.0		9.0				1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
2005	204657.0	16900.0	16887.0	12621.0	10605.0	2016.0		4266.0	2405.0	1861.0					13.0	11.0		2.0				1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
2006	214226.0	17083.0	17062.0	12457.0	10459.0	1996.0	2.0	4605.0	2988.0	1617.0				3.0	18.0	14.0		4.0		3.0		1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
2007	217694.0	16232.0	16201.0	11847.0	10276.0	1570.0	1.0	4353.0	3176.0	1177.0	1.0	1.0		3.0	28.0	20.0		6.0		1.0	3.0	1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
2008	213383.0	15798.0	15767.0	11834.0	10568.0	1266.0		3933.0	2805.0	1128.0				3.0	28.0	21.0		8.0				1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
2009	221121.0	15284.0	15259.0	11743.0	10629.0	1108.0	6.0	3515.0	2500.0	1015.0	1.0		1.0	1.0	23.0	17.0	1.0	5.0		3.0		1.都道府県別出荷頭数累年統計	24.Mie	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117968&fileKind=0
