year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	37202.0		16762.0	4344.0	1610.0	2729.0	5.0	12414.0	3143.0	9271.0	4.0	3.0	1.0		184.0	3.0		35.0				1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1986	35515.0		17395.0	5103.0	2435.0	2666.0	2.0	12292.0	2612.0	9680.0				3.0	188.0			39.0				1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1987	30685.0		17787.0	4234.0	2216.0	2015.0	3.0	13516.0	2282.0	11234.0	37.0	1.0	36.0		150.0			30.0				1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1988	31567.0		17918.0	4487.0	2420.0	2062.0	5.0	13306.0	2627.0	10679.0	125.0	1.0	124.0	1.0	164.0	20.0		20.0		1.0	1.0	1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1989	33061.0		17934.0	5527.0	2430.0	3095.0	2.0	12312.0	2457.0	9855.0	95.0	1.0	94.0	7.0	120.0	16.0		20.0		1.0		1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1990	31189.0		16020.0	5324.0	2200.0	3122.0	2.0	10684.0	2076.0	8608.0	12.0		12.0	3.0	132.0	9.0		11.0				1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1991	31328.0		15783.0	5693.0	2356.0	3334.0	3.0	10078.0	2058.0	8020.0	12.0		12.0		102.0	2.0		2.0				1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1992	27831.0		16082.0	6287.0	2764.0	3521.0	2.0	9755.0	1825.0	7930.0	40.0	4.0	36.0		74.0			2.0		4.0	3.0	1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1993	29192.0		15746.0	7226.0	3012.0	4210.0	4.0	8520.0	1735.0	6785.0					38.0	1.0		5.0		1.0		1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1994	26032.0		15385.0	7304.0	3509.0	3793.0	2.0	8079.0	1595.0	6484.0	2.0	2.0		1.0	30.0	3.0		77.0				1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1995	24961.0	15487.0	15469.0	7223.0	3564.0	3657.0	2.0	8246.0	1769.0	6477.0					18.0			34.0			1.0	1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1996	22264.0	13870.0	13866.0	6656.0	3296.0	3360.0		7210.0	1510.0	5700.0					4.0			4.0				1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1997	21917.0	13103.0	13102.0	6614.0	3403.0	3207.0	4.0	6488.0	1498.0	4990.0					1.0			2.0			2.0	1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1998	20523.0	12486.0	12486.0	6750.0	3530.0	3219.0	1.0	5734.0	1424.0	4310.0	2.0		2.0					2.0		1.0		1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
1999	19833.0	12457.0	12447.0	6461.0	3353.0	3107.0	1.0	5986.0	1391.0	4595.0				7.0	3.0			7.0		2.0	6.0	1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
2000	19111.0	12047.0	12047.0	6113.0	3138.0	2975.0		5934.0	1334.0	4600.0								3.0				1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
2001	19315.0	10000.0	10000.0	5851.0	3321.0	2527.0	3.0	4149.0	1069.0	3080.0												1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
2002	22801.0	11137.0	11137.0	7573.0	4154.0	3418.0	1.0	3564.0	841.0	2723.0										1.0		1.都道府県別出荷頭数累年統計	25.Shiga	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117969&fileKind=0
