year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	39638.0		3584.0	1204.0	955.0	247.0	2.0	2376.0	1804.0	572.0	4.0	3.0	1.0	9.0	74.0	17.0						1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1986	34383.0		3929.0	1515.0	1220.0	294.0	1.0	2413.0	1983.0	430.0	1.0	1.0			15.0	2.0		1.0		1.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1987	31319.0		4030.0	1333.0	1086.0	245.0	2.0	2687.0	2045.0	642.0	10.0	1.0	9.0	1.0	16.0	7.0				1.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1988	33082.0		3609.0	970.0	702.0	267.0	1.0	2611.0	2290.0	321.0	28.0	5.0	23.0	4.0	20.0	5.0			1.0		1.0	1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1989	38500.0		3927.0	1277.0	1000.0	273.0	4.0	2650.0	2150.0	500.0				3.0	22.0	14.0		2.0	1.0			1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1990	36118.0		3549.0	1199.0	967.0	225.0	7.0	2350.0	1980.0	370.0				3.0	13.0	6.0		1.0	1.0			1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1991	36230.0		3633.0	1151.0	890.0	260.0	1.0	2481.0	2010.0	471.0	1.0		1.0	3.0	33.0	15.0		2.0		23.0	6.0	1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1992	33660.0		4164.0	1352.0	970.0	380.0	2.0	2800.0	2380.0	420.0	12.0	11.0	1.0	4.0	30.0	17.0		3.0		11.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1993	32671.0		4744.0	1681.0	1100.0	580.0	1.0	3060.0	2760.0	300.0	3.0	1.0	2.0	1.0	13.0	5.0		10.0		21.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1994	29730.0		6799.0	2325.0	1798.0	524.0	3.0	4470.0	3890.0	580.0	4.0	2.0	2.0	1.0	15.0	1.0		13.0		23.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1995	30420.0	7280.0	7259.0	2902.0	2456.0	445.0	1.0	4355.0	3760.0	595.0	2.0	1.0	1.0	5.0	16.0	7.0		10.0		31.0	1.0	1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1996	25115.0	5181.0	5167.0	2492.0	2084.0	404.0	4.0	2675.0	2221.0	454.0				2.0	12.0	7.0		4.0		32.0	4.0	1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1997	26837.0	4521.0	4507.0	2315.0	1869.0	443.0	3.0	2192.0	1786.0	406.0				3.0	11.0	6.0		4.0		24.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1998	26082.0	5020.0	5003.0	2736.0	2336.0	400.0		2267.0	1989.0	278.0				3.0	14.0	8.0		3.0		27.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
1999	27799.0	4782.0	4756.0	2522.0	2264.0	255.0	3.0	2233.0	1896.0	337.0	1.0		1.0	10.0	16.0	5.0		2.0		14.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
2000	21505.0	5162.0	5151.0	2449.0	2117.0	318.0	14.0	2702.0	2339.0	363.0				5.0	6.0	2.0		4.0		23.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
2001	23796.0	2999.0	2992.0	1359.0	1071.0	285.0	3.0	1633.0	1330.0	303.0				2.0	5.0			3.0		24.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
2002	25919.0	4882.0	4877.0	1283.0	968.0	312.0	3.0	3592.0	2743.0	849.0	2.0	1.0	1.0		5.0	1.0		2.0		7.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
2003	22475.0	4064.0	4059.0	1173.0	920.0	251.0	2.0	2886.0	2256.0	630.0				2.0	3.0	1.0		5.0		7.0	2.0	1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
2004	21822.0	4580.0	4576.0	1595.0	1207.0	377.0	11.0	2980.0	2498.0	482.0	1.0		1.0		4.0	1.0		3.0		5.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
2005	14435.0	4202.0	4196.0	1610.0	1205.0	398.0	7.0	2582.0	2022.0	560.0	4.0		4.0	2.0	4.0	3.0		1.0		12.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
2006	16322.0	3496.0	3493.0	1281.0	978.0	301.0	2.0	2212.0	1874.0	338.0					3.0	2.0		2.0		8.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
2007	17459.0	3863.0	3856.0	1418.0	1141.0	251.0	26.0	2438.0	1794.0	644.0				1.0	6.0	3.0		1.0				1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
2008	17170.0	3583.0	3577.0	1361.0	1102.0	257.0	2.0	2216.0	1665.0	551.0				1.0	5.0	2.0		2.0		9.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
2009	11335.0	3703.0	3701.0	1724.0	1435.0	288.0	1.0	1976.0	1537.0	439.0	1.0	1.0		1.0	1.0	1.0		3.0		1.0		1.都道府県別出荷頭数累年統計	29.Nara	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117973&fileKind=0
