year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	106256.0		13567.0	7417.0	4528.0	2821.0	68.0	6148.0	3088.0	3060.0	2.0	2.0		40.0	29.0	15.0		5.0		4.0	1.0	1.都道府県別出荷頭数累年統計	32.Shimane	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117976&fileKind=0
1986	101808.0		13618.0	7031.0	4348.0	2639.0	44.0	6586.0	3469.0	3117.0	1.0	1.0		31.0	16.0	14.0		2.0		3.0		1.都道府県別出荷頭数累年統計	32.Shimane	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117976&fileKind=0
1987	109487.0		13322.0	6291.0	3691.0	2547.0	53.0	7030.0	3800.0	3230.0	1.0	1.0		25.0	9.0	3.0		4.0				1.都道府県別出荷頭数累年統計	32.Shimane	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117976&fileKind=0
1988	110951.0		13242.0	5865.0	3393.0	2444.0	28.0	7347.0	3890.0	3457.0	30.0	2.0	28.0	23.0	10.0	6.0		1.0		5.0		1.都道府県別出荷頭数累年統計	32.Shimane	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117976&fileKind=0
1989	112700.0		11955.0	5176.0	2700.0	2450.0	26.0	6750.0	3450.0	3300.0	29.0		29.0	25.0	11.0	6.0	1.0	2.0				1.都道府県別出荷頭数累年統計	32.Shimane	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117976&fileKind=0
1990	105700.0		14209.0	5925.0	3100.0	2802.0	23.0	8222.0	4500.0	3722.0	62.0	8.0	54.0	13.0	20.0	9.0				2.0		1.都道府県別出荷頭数累年統計	32.Shimane	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117976&fileKind=0
1991	94021.0		13901.0	6702.0	3861.0	2821.0	20.0	7174.0	4025.0	3149.0	25.0	7.0	18.0	21.0	12.0	5.0	1.0	2.0	1.0	3.0	1.0	1.都道府県別出荷頭数累年統計	32.Shimane	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117976&fileKind=0
1992	80368.0		14626.0	7121.0	3900.0	3202.0	19.0	7480.0	4150.0	3330.0	25.0	19.0	6.0	19.0	14.0	6.0		2.0		2.0		1.都道府県別出荷頭数累年統計	32.Shimane	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117976&fileKind=0
1993	83902.0		14971.0	7404.0	3990.0	3394.0	20.0	7371.0	4050.0	3321.0	196.0	34.0	162.0	21.0	10.0	7.0		7.0	1.0	12.0	1.0	1.都道府県別出荷頭数累年統計	32.Shimane	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117976&fileKind=0
1994	79570.0		14939.0	7510.0	3903.0	3579.0	28.0	7135.0	3885.0	3250.0	294.0	123.0	171.0	20.0	5.0	2.0		10.0		9.0		1.都道府県別出荷頭数累年統計	32.Shimane	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117976&fileKind=0
