year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	539668.0		23668.0	8761.0	4435.0	4268.0	58.0	14907.0	6509.0	8398.0				13.0	148.0	13.0	3.0	73.0		1.0	13.0	1.都道府県別出荷頭数累年統計	38.Ehime	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117982&fileKind=0
1986	559411.0		23494.0	8233.0	4247.0	3948.0	38.0	15260.0	6227.0	9033.0	1.0	1.0		17.0	93.0	17.0		67.0	2.0	2.0	3.0	1.都道府県別出荷頭数累年統計	38.Ehime	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117982&fileKind=0
1987	574094.0		22901.0	6975.0	3312.0	3628.0	35.0	15926.0	5967.0	9959.0				1.0	107.0	52.0	1.0	48.0	3.0	2.0	2.0	1.都道府県別出荷頭数累年統計	38.Ehime	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117982&fileKind=0
1988	594659.0		21601.0	6769.0	2891.0	3842.0	36.0	14752.0	5097.0	9655.0	80.0		80.0	4.0	114.0	73.0		52.0		2.0	1.0	1.都道府県別出荷頭数累年統計	38.Ehime	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117982&fileKind=0
1989	588670.0		19532.0	6438.0	2869.0	3550.0	19.0	12997.0	4667.0	8330.0	97.0		97.0	8.0	58.0	30.0	1.0	49.0	1.0	6.0	1.0	1.都道府県別出荷頭数累年統計	38.Ehime	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117982&fileKind=0
1990	590693.0		18872.0	6733.0	3000.0	3710.0	23.0	11950.0	4200.0	7750.0	189.0		189.0	1.0	64.0	41.0	5.0	35.0		4.0	2.0	1.都道府県別出荷頭数累年統計	38.Ehime	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117982&fileKind=0
1991	549314.0		19809.0	7175.0	3340.0	3820.0	15.0	12430.0	5280.0	7150.0	204.0	2.0	202.0	7.0	57.0	23.0	20.0	38.0		3.0	6.0	1.都道府県別出荷頭数累年統計	38.Ehime	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117982&fileKind=0
1992	523659.0		19603.0	7155.0	3358.0	3779.0	18.0	12437.0	5031.0	7406.0	11.0	6.0	5.0	8.0	63.0	38.0	16.0	75.0		4.0		1.都道府県別出荷頭数累年統計	38.Ehime	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117982&fileKind=0
1993	529906.0		19317.0	7599.0	3557.0	4024.0	18.0	11703.0	4753.0	6950.0	15.0	13.0	2.0	4.0	49.0	31.0	3.0	108.0	1.0			1.都道府県別出荷頭数累年統計	38.Ehime	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117982&fileKind=0
1994	484856.0		18260.0	7617.0	3780.0	3819.0	18.0	10635.0	4328.0	6307.0	8.0	5.0	3.0	9.0	38.0	18.0	5.0	70.0		8.0	2.0	1.都道府県別出荷頭数累年統計	38.Ehime	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117982&fileKind=0
1995	440171.0	16601.0	16565.0	7097.0	3412.0	3677.0	8.0	9463.0	3861.0	5602.0	5.0	2.0	3.0	5.0	26.0	4.0	5.0	8.0		4.0		1.都道府県別出荷頭数累年統計	38.Ehime	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117982&fileKind=0
1996	403068.0	15897.0	15848.0	6643.0	3078.0	3561.0	4.0	9198.0	3888.0	5310.0	7.0		7.0	4.0	36.0	15.0	9.0	10.0		10.0		1.都道府県別出荷頭数累年統計	38.Ehime	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117982&fileKind=0
