year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	202705.0		34728.0	8403.0	3090.0	5310.0	3.0	26315.0	13425.0	12890.0	10.0	1.0	9.0	65.0	575.0	344.0	3.0	1154.0	6.0	3.0	34.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1986	217383.0		34513.0	8268.0	2774.0	5485.0	9.0	26215.0	13796.0	12419.0	30.0	3.0	27.0	79.0	430.0	285.0		1090.0	3.0	3.0	20.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1987	222530.0		33051.0	7694.0	2218.0	5471.0	5.0	25334.0	13622.0	11712.0	23.0	12.0	11.0	51.0	316.0	194.0		1127.0	1.0		29.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1988	220811.0		31660.0	6900.0	1794.0	5098.0	8.0	24182.0	12870.0	11312.0	578.0	3.0	575.0	42.0	278.0	178.0		1058.0		5.0	19.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1989	215157.0		29407.0	6739.0	1823.0	4900.0	16.0	22208.0	11964.0	10244.0	460.0	7.0	453.0	45.0	255.0	181.0		1690.0	8.0	6.0	5.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1990	206905.0		27910.0	7472.0	1879.0	5592.0	1.0	20015.0	10490.0	9525.0	423.0	2.0	421.0	41.0	235.0	203.0		1942.0	1.0		7.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1991	187788.0		28461.0	7344.0	2082.0	5259.0	3.0	20314.0	10705.0	9609.0	803.0	2.0	801.0	34.0	195.0	180.0		1980.0		1.0	12.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1992	165704.0		27490.0	7367.0	2137.0	5222.0	8.0	19642.0	10030.0	9612.0	481.0	3.0	478.0	39.0	247.0	165.0		2085.0	4.0	4.0	9.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1993	176205.0		26857.0	7304.0	1920.0	5381.0	3.0	19322.0	9941.0	9381.0	231.0	18.0	213.0	20.0	205.0	132.0		1998.0	2.0	6.0	7.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1994	173959.0		28185.0	8696.0	2206.0	6486.0	4.0	19304.0	10123.0	9181.0	185.0	24.0	161.0	9.0	213.0	152.0		1992.0	2.0	21.0	19.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1995	160787.0	28320.0	28121.0	8596.0	2117.0	6476.0	3.0	19355.0	10213.0	9142.0	170.0	15.0	155.0	11.0	188.0	150.0		1915.0		6.0	14.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1996	151055.0	22715.0	22577.0	5772.0	1361.0	4411.0		16641.0	8246.0	8395.0	164.0	31.0	133.0	10.0	127.0	82.0	1.0	1323.0		5.0	19.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1997	133918.0	24364.0	24243.0	6340.0	1568.0	4766.0	6.0	17591.0	9218.0	8373.0	312.0	64.0	248.0	11.0	110.0	89.0		1305.0	1.0	9.0	9.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1998	131656.0	25738.0	25641.0	7647.0	1822.0	5820.0	5.0	17707.0	9445.0	8262.0	287.0	14.0	273.0	2.0	89.0	64.0	6.0	1451.0	1.0	2.0	5.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
1999	132868.0	26050.0	25914.0	7749.0	1735.0	6009.0	5.0	17110.0	8532.0	8578.0	1055.0	10.0	1045.0	5.0	117.0	88.0	14.0	1412.0		6.0	3.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
2000	131767.0	26056.0	25977.0	7326.0	1704.0	5613.0	9.0	15728.0	8360.0	7368.0	2923.0	29.0	2894.0	9.0	63.0	52.0	7.0	985.0		9.0	4.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
2001	141910.0	22833.0	22787.0	6693.0	1743.0	4942.0	8.0	13631.0	6403.0	7228.0	2463.0	3.0	2460.0	6.0	35.0	28.0	5.0	1051.0		5.0	8.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
2002	143555.0	22875.0	22856.0	7516.0	2006.0	5463.0	47.0	13106.0	5996.0	7110.0	2234.0	33.0	2201.0	3.0	16.0	10.0		983.0			12.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
2003	152214.0	21906.0	21893.0	6695.0	1747.0	4931.0	17.0	12905.0	5915.0	6990.0	2293.0	237.0	2056.0	1.0	10.0	9.0	2.0	1103.0			8.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
2004	142782.0	21025.0	21005.0	6665.0	1836.0	4825.0	4.0	11826.0	5490.0	6336.0	2514.0	702.0	1812.0	3.0	15.0	12.0	2.0	1016.0			2.0	1.都道府県別出荷頭数累年統計	40.Fukuoka	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117984&fileKind=0
