year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	604929.0		68792.0	29449.0	14280.0	14931.0	238.0	39295.0	14256.0	25039.0	48.0	38.0	10.0	91.0	270.0	107.0		1837.0	1.0	3.0	1.0	1.都道府県別出荷頭数累年統計	43.Kumamoto	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117987&fileKind=0
1986	617974.0		69144.0	27365.0	11806.0	15488.0	71.0	41626.0	14689.0	26937.0	153.0	27.0	126.0	76.0	162.0	42.0		1596.0		4.0	11.0	1.都道府県別出荷頭数累年統計	43.Kumamoto	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117987&fileKind=0
1987	582508.0		68179.0	24085.0	9006.0	15045.0	34.0	43154.0	15072.0	28082.0	940.0	72.0	868.0	66.0	109.0	42.0	2.0	1385.0		15.0	4.0	1.都道府県別出荷頭数累年統計	43.Kumamoto	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117987&fileKind=0
1988	606293.0		65089.0	22718.0	8009.0	14677.0	32.0	41007.0	13444.0	27563.0	1364.0	18.0	1346.0	54.0	79.0	26.0	2.0	1555.0	1.0	2.0	2.0	1.都道府県別出荷頭数累年統計	43.Kumamoto	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117987&fileKind=0
1989	623442.0		62747.0	22464.0	7839.0	14546.0	79.0	38902.0	12698.0	26204.0	1381.0	27.0	1354.0	64.0	65.0	41.0		1618.0	1.0	5.0	4.0	1.都道府県別出荷頭数累年統計	43.Kumamoto	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117987&fileKind=0
1990	610788.0		64864.0	24175.0	8033.0	16046.0	96.0	39214.0	13370.0	25844.0	1475.0	47.0	1428.0	54.0	77.0	48.0	1.0	2452.0		5.0	2.0	1.都道府県別出荷頭数累年統計	43.Kumamoto	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117987&fileKind=0
1991	571372.0		67017.0	24540.0	8904.0	15550.0	86.0	41066.0	14994.0	26072.0	1411.0	52.0	1359.0	41.0	76.0	25.0		2825.0		8.0	2.0	1.都道府県別出荷頭数累年統計	43.Kumamoto	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117987&fileKind=0
1992	556283.0		70184.0	28305.0	12048.0	16161.0	96.0	40365.0	14203.0	26162.0	1514.0	39.0	1475.0	34.0	35.0	11.0		3060.0		6.0	5.0	1.都道府県別出荷頭数累年統計	43.Kumamoto	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117987&fileKind=0
1993	553934.0		71992.0	32527.0	14594.0	17889.0	44.0	38203.0	13952.0	24251.0	1262.0	56.0	1206.0	25.0	12.0	5.0		3139.0	1.0	17.0	4.0	1.都道府県別出荷頭数累年統計	43.Kumamoto	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117987&fileKind=0
1994	564113.0		75676.0	35945.0	15759.0	20136.0	50.0	37853.0	14408.0	23445.0	1878.0	99.0	1779.0	22.0	28.0	9.0		3624.0		16.0		1.都道府県別出荷頭数累年統計	43.Kumamoto	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117987&fileKind=0
