year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	278541.0		30335.0	17292.0	7528.0	9699.0	65.0	13023.0	5738.0	7285.0	20.0	8.0	12.0	5.0	46.0	35.0		178.0	1.0		3.0	1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1986	288485.0		27744.0	14233.0	5516.0	8711.0	6.0	13169.0	6396.0	6773.0	342.0	7.0	335.0	12.0	30.0	16.0		191.0		7.0	3.0	1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1987	287735.0		26686.0	12274.0	4347.0	7903.0	24.0	13066.0	6249.0	6817.0	1346.0	24.0	1322.0	31.0	12.0	8.0		134.0		7.0	2.0	1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1988	299955.0		24731.0	11163.0	4030.0	7107.0	26.0	12182.0	5557.0	6625.0	1386.0	37.0	1349.0	35.0	22.0	15.0		50.0		1.0		1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1989	293219.0		22176.0	10037.0	4091.0	5918.0	28.0	10382.0	4645.0	5737.0	1757.0	13.0	1744.0	47.0	26.0	16.0		26.0		2.0	1.0	1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1990	303572.0		22636.0	11221.0	5281.0	5919.0	21.0	9327.0	3916.0	5411.0	2088.0	22.0	2066.0	21.0	7.0	4.0		16.0		1.0		1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1991	277761.0		23239.0	11232.0	5157.0	6055.0	20.0	10271.0	4388.0	5883.0	1736.0	3.0	1733.0	25.0	19.0	18.0		10.0	1.0	9.0		1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1992	270578.0		23149.0	11499.0	5838.0	5647.0	14.0	9701.0	4051.0	5650.0	1949.0	31.0	1918.0	14.0	7.0	3.0		47.0		5.0		1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1993	259637.0		23084.0	11912.0	5741.0	6152.0	19.0	9225.0	4356.0	4869.0	1947.0	52.0	1895.0	13.0	7.0	7.0		85.0		6.0		1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1994	252793.0		23145.0	12179.0	6397.0	5764.0	18.0	9820.0	4731.0	5089.0	1146.0	80.0	1066.0	13.0	4.0	2.0		79.0		13.0	5.0	1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1995	233237.0	22509.0	22482.0	11644.0	5945.0	5678.0	21.0	9965.0	4685.0	5280.0	873.0	21.0	852.0	19.0	8.0	5.0		100.0		1.0	11.0	1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1996	217907.0	21805.0	21781.0	13006.0	6333.0	6655.0	18.0	8666.0	3645.0	5021.0	109.0	3.0	106.0	16.0	8.0	5.0		71.0		1.0	1.0	1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1997	222423.0	21351.0	21325.0	12143.0	5848.0	6286.0	9.0	8916.0	3916.0	5000.0	266.0	8.0	258.0	14.0	12.0	6.0		95.0			3.0	1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1998	214170.0	19884.0	19851.0	10725.0	5507.0	5206.0	12.0	8928.0	4462.0	4466.0	198.0	1.0	197.0	24.0	9.0	4.0		64.0				1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
1999	220307.0	18887.0	18868.0	10022.0	5491.0	4512.0	19.0	8846.0	4523.0	4323.0				12.0	7.0	2.0		67.0			1.0	1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
2000	214472.0	18291.0	18276.0	9323.0	5397.0	3909.0	17.0	8953.0	4476.0	4477.0				13.0	2.0			30.0			1.0	1.都道府県別出荷頭数累年統計	44.Oita	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117988&fileKind=0
