year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	1185856.0		53120.0	35632.0	21939.0	13650.0	43.0	17306.0	5893.0	11413.0	182.0	12.0	170.0	233.0	223.0	105.0		133.0	8.0	4.0	2.0	1.都道府県別出荷頭数累年統計	45.Miyazaki	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117989&fileKind=0
1986	1249277.0		53470.0	34137.0	20162.0	13942.0	33.0	19311.0	6858.0	12453.0	22.0	9.0	13.0	198.0	230.0	105.0		121.0	4.0	11.0	5.0	1.都道府県別出荷頭数累年統計	45.Miyazaki	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117989&fileKind=0
1987	1349407.0		52230.0	30347.0	16889.0	13416.0	42.0	21392.0	8559.0	12833.0	491.0	18.0	473.0	147.0	174.0	92.0	1.0	108.0	2.0	4.0	2.0	1.都道府県別出荷頭数累年統計	45.Miyazaki	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117989&fileKind=0
1988	1292487.0		52837.0	29373.0	14998.0	14280.0	95.0	22731.0	9803.0	12928.0	733.0	43.0	690.0	128.0	168.0	93.0	1.0	100.0	3.0	16.0	5.0	1.都道府県別出荷頭数累年統計	45.Miyazaki	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117989&fileKind=0
1989	1310702.0		53400.0	31039.0	15865.0	15112.0	62.0	21409.0	8517.0	12892.0	952.0	92.0	860.0	118.0	174.0	125.0	8.0	116.0	6.0	4.0	7.0	1.都道府県別出荷頭数累年統計	45.Miyazaki	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117989&fileKind=0
1990	1335410.0		54903.0	33640.0	16668.0	16933.0	39.0	20216.0	7208.0	13008.0	1047.0	59.0	988.0	128.0	125.0	112.0	6.0	75.0		3.0	2.0	1.都道府県別出荷頭数累年統計	45.Miyazaki	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117989&fileKind=0
1991	1331308.0		60400.0	36223.0	17563.0	18571.0	89.0	22926.0	7919.0	15007.0	1251.0	95.0	1156.0	128.0	118.0	90.0	7.0	101.0		20.0	1.0	1.都道府県別出荷頭数累年統計	45.Miyazaki	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117989&fileKind=0
1992	1358756.0		62884.0	37645.0	18187.0	19382.0	76.0	23317.0	7146.0	16171.0	1922.0	195.0	1727.0	120.0	102.0	64.0	1.0	138.0	4.0	28.0	2.0	1.都道府県別出荷頭数累年統計	45.Miyazaki	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117989&fileKind=0
1993	1375353.0		71703.0	46769.0	23120.0	23601.0	48.0	22449.0	7351.0	15098.0	2485.0	228.0	2257.0	159.0	79.0	42.0	21.0	192.0	2.0	25.0	1.0	1.都道府県別出荷頭数累年統計	45.Miyazaki	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117989&fileKind=0
1994	1366120.0		76246.0	52877.0	27941.0	24912.0	24.0	20537.0	6679.0	13858.0	2832.0	125.0	2707.0	94.0	70.0	35.0	9.0	218.0		16.0		1.都道府県別出荷頭数累年統計	45.Miyazaki	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117989&fileKind=0
