year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	data_source	prefecture	source_url
1985	472126.0		7754.0	6065.0	2021.0	3938.0	106.0	1680.0	1153.0	527.0	9.0	5.0	4.0	40.0	7.0	1.0		66.0	1.0		3270.0	1.都道府県別出荷頭数累年統計	47.Okinawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117991&fileKind=0
1986	493345.0		6816.0	5304.0	1681.0	3544.0	79.0	1501.0	1184.0	317.0	11.0	4.0	7.0	12.0	3.0	3.0		180.0	1.0		3617.0	1.都道府県別出荷頭数累年統計	47.Okinawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117991&fileKind=0
1987	492020.0		5763.0	4155.0	1159.0	2878.0	118.0	1608.0	1115.0	493.0								71.0			3539.0	1.都道府県別出荷頭数累年統計	47.Okinawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117991&fileKind=0
1988	505427.0		5421.0	3556.0	1133.0	2329.0	94.0	1773.0	1202.0	571.0	92.0	2.0	90.0	1.0				55.0			3681.0	1.都道府県別出荷頭数累年統計	47.Okinawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117991&fileKind=0
1989	496341.0		4905.0	2779.0	673.0	1976.0	130.0	1817.0	1072.0	745.0	309.0	1.0	308.0	1.0				60.0			3411.0	1.都道府県別出荷頭数累年統計	47.Okinawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117991&fileKind=0
1990	505035.0		5381.0	3238.0	752.0	2327.0	159.0	1923.0	1259.0	664.0	220.0		220.0	1.0				48.0	2.0		3659.0	1.都道府県別出荷頭数累年統計	47.Okinawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117991&fileKind=0
1991	494595.0		5895.0	3468.0	1117.0	2198.0	153.0	1978.0	1450.0	528.0	449.0		449.0					54.0			4074.0	1.都道府県別出荷頭数累年統計	47.Okinawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117991&fileKind=0
1992	487856.0		8088.0	4827.0	1978.0	2735.0	114.0	1747.0	1343.0	404.0	1514.0		1514.0	2.0				76.0			4880.0	1.都道府県別出荷頭数累年統計	47.Okinawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117991&fileKind=0
1993	483425.0		11224.0	6148.0	2839.0	3171.0	138.0	1843.0	1463.0	380.0	3233.0		3233.0					104.0	2.0		5151.0	1.都道府県別出荷頭数累年統計	47.Okinawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117991&fileKind=0
1994	483855.0		10745.0	8119.0	4329.0	3630.0	160.0	1688.0	1438.0	250.0	938.0	1.0	937.0					213.0	8.0		4663.0	1.都道府県別出荷頭数累年統計	47.Okinawa	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117991&fileKind=0
